iter	Passed	Remaining
917	1576	140
918	1578	139
919	1579	137
920	1581	135
921	1582	133
922	1584	132
923	1586	130
924	1587	128
925	1589	127
926	1591	125
927	1593	123
928	1594	121
929	1596	120
930	1597	118
931	1599	116
932	1601	114
933	1602	113
934	1604	111
935	1606	109
936	1608	108
937	1609	106
938	1611	104
939	1613	102
940	1614	101
941	1616	99
942	1618	97
943	1619	96
944	1621	94
945	1622	92
946	1624	90
947	1626	89
948	1627	87
949	1629	85
950	1631	84
951	1632	82
952	1634	80
953	1636	78
954	1638	77
955	1639	75
956	1641	73
957	1643	72
958	1644	70
959	1646	68
960	1648	66
961	1649	65
962	1651	63
963	1653	61
964	1655	60
965	1656	58
966	1658	56
967	1660	54
968	1661	53
969	1663	51
970	1665	49
971	1667	48
972	1668	46
973	1670	44
974	1672	42
975	1674	41
976	1675	39
977	1677	37
978	1679	36
979	1680	34
980	1682	32
981	1684	30
982	1685	29
983	1687	27
984	1688	25
985	1690	24
986	1692	22
987	1694	20
988	1695	18
989	1697	17
990	1699	15
991	1700	13
992	1702	12
993	1704	10
994	1705	8
995	1707	6
996	1709	5
997	1710	3
998	1712	1
999	1714	0
